H	col	frontier_in	frontier_out	wall_s	cpu_s	eff_cores	util_pct	rss_max_mb	map_wall_s	merge_wall_s	merge_frac	map_units	merge_ranges
9	0	1	271	0.01	0.0	0.00	0.0	12.6	0.00	0.00	0.000	-	-
9	1	271	1729	0.16	0.9	5.62	18.8	12.6	0.02	0.14	0.875	-	-
9	2	1729	2113	0.33	1.9	5.76	19.2	12.6	0.07	0.26	0.788	-	-
9	3	2113	2152	0.36	2.2	6.11	20.4	12.6	0.08	0.28	0.778	-	-
9	4	2152	2152	0.36	2.2	6.11	20.4	12.6	0.07	0.29	0.806	-	-
9	5	2152	2152	0.36	2.2	6.11	20.4	12.6	0.08	0.28	0.778	-	-
9	6	2152	2152	0.35	2.0	5.71	19.0	12.6	0.07	0.28	0.800	-	-
9	7	2152	2152	0.35	2.1	6.00	20.0	12.6	0.07	0.28	0.800	-	-
9	8	2152	2152	0.33	1.9	5.76	19.2	13.1	0.07	0.26	0.788	-	-
9	9	2152	2152	0.31	1.8	5.81	19.4	13.1	0.07	0.24	0.774	-	-
9	10	2152	2137	0.26	1.6	6.15	20.5	13.1	0.05	0.21	0.808	-	-
9	11	2137	2089	0.19	1.4	7.37	24.6	13.1	0.05	0.14	0.737	-	-
9	12	2089	1691	0.14	1.3	9.29	31.0	13.1	0.04	0.10	0.714	-	-
9	13	1691	929	0.11	1.2	10.91	36.4	13.1	0.04	0.07	0.636	-	-
9	14	929	449	0.09	1.1	12.22	40.7	13.1	0.03	0.06	0.667	-	-
9	15	449	205	0.08	1.0	12.50	41.7	13.1	0.03	0.05	0.625	-	-
9	16	205	87	0.06	0.8	13.33	44.4	13.1	0.03	0.03	0.500	-	-
9	17	87	37	0.03	0.2	6.67	22.2	13.1	0.02	0.01	0.333	-	-
9	18	37	14	0.02	0.0	0.00	0.0	13.1	0.01	0.01	0.500	-	-
9	19	14	5	0.01	0.0	0.00	0.0	13.1	0.00	0.00	0.000	-	-
9	20	5	0	0.00	0.0	0.00	0.0	13.1	0.00	0.00	-	-	-
10	0	1	527	0.00	0.0	0.00	0.0	13.1	0.00	0.00	-	-	-
10	1	527	4107	0.35	1.3	3.71	12.4	13.1	0.04	0.31	0.886	-	-
10	2	4107	5379	0.81	6.3	7.78	25.9	13.1	0.23	0.58	0.716	-	-
10	3	5379	5560	0.96	8.4	8.75	29.2	18.3	0.30	0.65	0.677	-	-
10	4	5560	5560	0.98	8.4	8.57	28.6	15.4	0.32	0.66	0.673	-	-
10	5	5560	5560	0.94	7.8	8.30	27.7	15.0	0.29	0.65	0.691	-	-
10	6	5560	5560	0.92	7.1	7.72	25.7	13.1	0.27	0.65	0.707	-	-
10	7	5560	5560	0.81	5.9	7.28	24.3	13.1	0.22	0.59	0.728	-	-
10	8	5560	5548	0.68	4.4	6.47	21.6	13.1	0.17	0.51	0.750	-	-
10	9	5548	5489	0.53	3.2	6.04	20.1	13.1	0.14	0.40	0.755	-	-
10	10	5489	5327	0.36	2.4	6.67	22.2	13.1	0.10	0.27	0.750	-	-
10	11	5327	4391	0.25	1.7	6.80	22.7	13.1	0.07	0.17	0.680	-	-
10	12	4391	2457	0.16	1.3	8.12	27.1	13.1	0.06	0.10	0.625	-	-
10	13	2457	1175	0.11	1.1	10.00	33.3	13.1	0.04	0.07	0.636	-	-
10	14	1175	531	0.09	0.9	10.00	33.3	13.1	0.03	0.06	0.667	-	-
10	15	531	231	0.08	0.7	8.75	29.2	13.4	0.03	0.04	0.500	-	-
10	16	231	98	0.06	0.6	10.00	33.3	13.4	0.03	0.04	0.667	-	-
10	17	98	40	0.04	0.2	5.00	16.7	13.4	0.02	0.01	0.250	-	-
10	18	40	15	0.01	0.1	10.00	33.3	13.4	0.01	0.00	0.000	-	-
10	19	15	5	0.01	0.0	0.00	0.0	13.4	0.01	0.00	0.000	-	-
10	20	5	0	0.00	0.0	0.00	0.0	13.4	0.00	0.00	-	-	-
11	0	1	1055	0.01	0.0	0.00	0.0	13.4	0.01	0.00	0.000	-	-
11	1	1055	9918	0.77	2.6	3.38	11.3	26.2	0.14	0.63	0.818	-	-
11	2	9918	13993	2.63	33.0	12.55	41.8	56.4	1.24	1.39	0.529	-	-
11	3	13993	14772	3.20	41.2	12.88	42.9	54.8	1.59	1.61	0.503	-	-
11	4	14772	14772	3.15	40.0	12.70	42.3	60.1	1.55	1.61	0.511	-	-
11	5	14772	14772	2.95	35.1	11.90	39.7	49.0	1.38	1.57	0.532	-	-
11	6	14772	14771	2.47	27.1	10.97	36.6	50.0	1.01	1.46	0.591	-	-
11	7	14771	14707	1.88	18.1	9.63	32.1	31.4	0.68	1.20	0.638	-	-
11	8	14707	14438	1.34	11.4	8.51	28.4	28.4	0.45	0.89	0.664	-	-
11	9	14438	13816	0.83	6.5	7.83	26.1	25.8	0.27	0.56	0.675	-	-
11	10	13816	11493	0.49	3.9	7.96	26.5	25.8	0.17	0.32	0.653	-	-
11	11	11493	6587	0.30	2.4	8.00	26.7	25.8	0.12	0.18	0.600	-	-
11	12	6587	3020	0.17	1.5	8.82	29.4	25.8	0.07	0.10	0.588	-	-
11	13	3020	1317	0.11	1.0	9.09	30.3	25.8	0.04	0.07	0.636	-	-
11	14	1317	561	0.10	1.0	10.00	33.3	25.8	0.03	0.06	0.600	-	-
11	15	561	247	0.09	1.0	11.11	37.0	25.8	0.04	0.05	0.556	-	-
11	16	247	109	0.06	0.7	11.67	38.9	25.8	0.03	0.04	0.667	-	-
11	17	109	46	0.04	0.3	7.50	25.0	25.8	0.03	0.01	0.250	-	-
11	18	46	17	0.02	0.1	5.00	16.7	25.8	0.01	0.01	0.500	-	-
