orchestrate maxn=40 fold=true cores=80 unit_mult=8 merge_mult=1 ram=1073741824 counter=u128 kernel=kink max_diag_k=0 run_dir=runs/ns_a40/dalby rev=38956525
event=kink_round H=4 col=0 round=stage3 frontier_in=8 map_wall_s=0.002 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.35
event=kink_round H=3 col=0 round=stage2 frontier_in=4 map_wall_s=0.004 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=9 col=0 round=stage3 frontier_in=8 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=12 col=0 round=stage3 frontier_in=8 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.32 merge_eff_cores=0.32
event=kink_round H=16 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.49
event=kink_round H=4 col=0 round=finalize frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=11 col=0 round=stage3 frontier_in=8 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.34
event=kink_round H=13 col=0 round=stage3 frontier_in=8 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=column H=4 col=0 frontier_in=1 frontier_out=9 wall_s=0.07 cum_wall_s=0.1 cpu_s=0.0 rss_max_mb=59.3 map_wall_s=0.03 map_cpu_s=0.0 merge_wall_s=0.03 merge_cpu_s=0.0 map_units=6 merge_ranges=5 eff_cores=0.04
event=kink_round H=18 col=0 round=stage3 frontier_in=8 map_wall_s=0.004 map_cpu_s=0.001 merge_wall_s=0.004 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.27 merge_eff_cores=0.00
event=kink_round H=5 col=0 round=stage3 frontier_in=8 map_wall_s=0.002 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.29
event=kink_round H=4 col=1 round=seed frontier_in=9 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=19 col=0 round=stage3 frontier_in=8 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.29 merge_eff_cores=0.28
event=kink_round H=17 col=0 round=stage3 frontier_in=8 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=9 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=16 col=0 round=stage5 frontier_in=32 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.76
event=kink_round H=8 col=0 round=stage3 frontier_in=8 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.001 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.29 merge_eff_cores=0.69
event=kink_round H=10 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=1.13 merge_eff_cores=0.31
event=kink_round H=12 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.51
event=kink_round H=13 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=15 col=0 round=stage3 frontier_in=8 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.006 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.17
event=kink_round H=5 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=17 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=14 col=0 round=stage4 frontier_in=16 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.24
