2,2,2,4,3,2	1083358753	206423191	200174909	38144629
2,2,2,4,4	170510993	32474773	17704105	3372840
2,2,2,5,2,2	390299303	74334830	73546739	14008403
2,2,2,5,3	141215546	26879723	18335598	3490817
2,2,2,6,2	51315164	9762548	9265363	1762875
2,2,2,7	2175610	413675	142922	27191
2,2,3,2,2,2,2,2	12006009773	2281630353	2297477992	436625654
2,2,3,2,2,2,3	2384936899	453184313	326935839	62128731
2,2,3,2,2,3,2	3343247584	635114737	625913429	118910435
2,2,3,2,2,4	368744903	70037667	39561443	7515293
2,2,3,2,3,2,2	3463956086	657700425	657700425	124883866
2,2,3,2,3,3	879316756	166909368	117784572	22360844
2,2,3,2,4,2	670403660	127209505	123517220	23439398
2,2,3,2,5	49429983	9376476	4352827	825938
2,2,3,3,2,2,2	4512252440	855583075	861021720	163269802
2,2,3,3,2,3	904270762	171423446	122855472	23293404
2,2,3,3,3,2	1658590309	314198620	307551515	58267520
2,2,3,3,4	223145363	42251390	23318799	4416775
2,2,3,4,2,2	1112084682	210507069	209912006	39737827
2,2,3,4,3	346005210	65452084	45189392	8550466
2,2,3,5,2	203208958	38411220	36834990	6963551
2,2,3,6	12668615	2392872	943857	178391
2,2,4,2,2,2,2	2409365550	455701592	460507531	87103289
2,2,4,2,2,3	479856914	90739137	65574952	12401637
2,2,4,2,3,2	680916590	128700982	127137574	24032449
2,2,4,2,4	75299601	14227521	8008194	1513549
2,2,4,3,2,2	1112084682	209912006	210507069	39737827
2,2,4,3,3	286752005	54095070	37843779	7141028
2,2,4,4,2	313685021	59118463	57163970	10774857
2,2,4,5	31237011	5881984	2687823	506426
2,2,5,2,2,2	390299303	73546739	74334830	14008403
2,2,5,2,3	78532253	14793955	10607341	1998637
2,2,5,3,2	206897954	38922365	38069610	7162730
2,2,5,4	37426880	7034024	3827154	719624
2,2,6,2,2	53847866	10115989	10115989	1900597
2,2,6,3	22387389	4201076	2867955	538348
2,2,7,2	6298867	1180339	1128473	211492
2,2,8	217703	40739	12680	2375
2,3,2,2,2,2,2,2	11695580821	2191587608	2238586602	419490237
2,3,2,2,2,2,3	2321988186	435057498	318507572	59681272
2,3,2,2,2,3,2	3247564423	608319230	608319230	113953098
2,3,2,2,2,4	357941644	67035173	38462548	7204398
2,3,2,2,3,2,2	3343247584	625913429	635114737	118910435
2,3,2,2,3,3	846689386	158468613	113579696	21260999
2,3,2,2,4,2	643587727	120410898	118673373	22204738
2,3,2,2,5	47358111	8857306	4187003	783330
2,3,2,3,2,2,2	3397201378	635268133	648644665	121301002
2,3,2,3,2,3	679342730	127007795	92418226	17280759
2,3,2,3,3,2	1230893871	229973522	228553310	42705672
2,3,2,3,4	164826115	30780797	17359785	3242925
2,3,2,4,2,2	680916590	127137574	128700982	24032449
2,3,2,4,3	210084046	39202905	27657218	5162243
2,3,2,5,2	105134203	19606556	19148640	3571465
2,3,2,6	5705694	1063387	428200	79850
2,3,3,2,2,2,2	4366438365	811353522	834791039	155125308
2,3,3,2,2,3	869438890	161518084	118893010	22090328
2,3,3,2,3,2	1230893871	228553310	229973522	42705672
2,3,3,2,4	136160207	25273033	14512598	2694565
2,3,3,3,2,2	1658590309	307551515	314198620	58267520
2,3,3,3,3	426394479	79017753	56526417	10478335
2,3,3,4,2	397427412	73578658	72689099	13459584
2,3,3,5	34532058	6387643	2986882	552875
2,3,4,2,2,2	1083358753	200174909	206423191	38144629
2,3,4,2,3	217960684	40258546	29484658	5447358
2,3,4,3,2	491107241	90582822	90582822	16710378
2,3,4,4	77779957	14331860	7996448	1474327
2,3,5,2,2	206897954	38069610	38922365	7162730
2,3,5,3	75623179	13898106	9738951	1790584
2,3,6,2	31515162	5779619	5665373	1039183
2,3,7	1510433	276468	98331	18018
2,4,2,2,2,2,2	2307332829	425739229	441416676	81451825
2,4,2,2,2,3	458383250	84561114	62797728	11586198
2,4,2,2,3,2	643587727	118673373	120410898	22204738
2,4,2,2,4	70946184	13077363	7600870	1401439
2,4,2,3,2,2	670403660	123517220	127209505	23439398
2,4,2,3,3	170291750	31358549	22771772	4194329
2,4,2,4,2	130005183	23925261	23925261	4403577
2,4,2,5	9580511	1762055	840723	154705
2,4,3,2,2,2	1068498247	195738526	203751326	37328401
2,4,3,2,3	214469927	39274454	29092233	5328770
2,4,3,3,2	397427412	72689099	73578658	13459584
2,4,3,4	53614983	9797546	5565797	1017674
2,4,4,2,2	313685021	57163970	59118463	10774857
2,4,4,3	98409743	17913582	12762357	2324170
2,4,5,2	66465441	12064194	11994995	2177699
2,4,6	4682383	847865	344968	62530
2,5,2,2,2,2	370074049	67466328	70696747	12889229
2,5,2,2,3	73757516	13442119	10067288	1835101
2,5,2,3,2	105134203	19148640	19606556	3571465
2,5,2,4	11628757	2116941	1233588	224664
2,5,3,2,2	203208958	36834990	38411220	6963551
2,5,3,3	52733624	9550360	6924664	1254602
2,5,4,2	66465441	11994995	12064194	2177699
2,5,5	7470787	1344445	634315	114257
2,6,2,2,2	51315164	9265363	9762548	1762875
2,6,2,3	10356335	1869171	1394693	251791
2,6,3,2	31515162	5665373	5779619	1039183
2,6,4	6427451	1151931	648240	116265
2,7,2,2	6298867	1128473	1180339	211492
2,7,3	2952995	527439	374007	66835
2,8,2	670338	119335	119335	21249
2,9	19428	3447	1018	181
3,2,2,2,2,2,2,2	8370786124	1148675284	1602385319	219893755
3,2,2,2,2,2,3	1661565538	227982932	227982932	31284342
3,2,2,2,2,3,2	2321988186	318507572	435057498	59681272
3,2,2,2,2,4	255896783	35096491	27515848	3774566
3,2,2,2,3,2,2	2384936899	326935839	453184313	62128731
3,2,2,2,3,3	603609671	82722877	81031281	11107411
3,2,2,2,4,2	458383250	62797728	84561114	11586198
3,2,2,2,5	33716238	4617918	2985738	409102
3,2,2,3,2,2,2	2407945743	329593461	459869786	62950370
3,2,2,3,2,3	481135485	65840849	65496625	8964641
3,2,2,3,3,2	869438890	118893010	161518084	22090328
3,2,2,3,4	116282927	15895243	12266403	1677513
3,2,2,4,2,2	479856914	65574952	90739137	12401637
3,2,2,4,3	147663971	20166709	19463681	2659187
3,2,2,5,2	73757516	10067288	13442119	1835101
3,2,2,6	3995961	545117	300918	41084
3,2,3,2,2,2,2	2417661043	329201301	462347918	62960288
3,2,3,2,2,3	481135485	65496625	65840849	8964641
3,2,3,2,3,2	679342730	92418226	127007795	17280759
3,2,3,2,4	75101586	10213068	8015480	1090476
3,2,3,3,2,2	904270762	122855472	171423446	23293404
3,2,3,3,3	231554563	31436771	30753759	4177035
3,2,3,4,2	214469927	29092233	39274454	5328770
3,2,3,5	18571505	2517267	1618293	219555
3,2,4,2,2,2	487998049	66141317	93043143	12612373
3,2,4,2,3	97926320	13265772	13265772	1797764
3,2,4,3,2	217960684	29484658	40258546	5447358
3,2,4,4	34347586	4641942	3562167	481823
3,2,5,2,2	78532253	10607341	14793955	1998637
3,2,5,3	28482238	3841898	3695092	498720
3,2,6,2	10356335	1394693	1869171	251791
3,2,7	439402	59080	28786	3876
3,3,2,2,2,2,2	3038467238	408022434	581374837	78076087
3,3,2,2,2,3	603609671	81031281	82722877	11107411
3,3,2,2,3,2	846689386	113579696	158468613	21260999
3,3,2,2,4	93362834	12518156	10011011	1342875
3,3,2,3,2,2	879316756	117784572	166909368	22360844
3,3,2,3,3	223227255	29878683	29878683	4000911
3,3,2,4,2	170291750	22771772	31358549	4194329
